store_name,address,newAddress
매헌역점,서울시 서초구 동산로 1  1층  ,서울특별시 서초구 동산로 1 1층
문래동점,서울시 영등포구 문래동6가 5번지 1층  ,서울특별시 영등포구 문래동6가 5번지 1층
역삼동태광타워점,서울시 강남구 역삼동 718-20  태광타워 1층  ,서울특별시 강남구 역삼동 718-20 태광타워 1층
파주운정홈플러스점,경기도 파주시 청암로 17번길 17 1층  ,경기도 파주시 청암로 17번길 17 1층
잠원논현역점,서울시 서초구 신반포로47길 5 건물전체 1~3층  ,서울특별시 서초구 신반포로47길 5 건물전체 1~3층
홍대역8번출구점,서울시 마포구 양화로18안길 7 2층  ,서울특별시 마포구 양화로18안길 7 2층
산본역점,경기도 군포시 광정로58 1층 104호 및 2층  ,경기도 군포시 광정로58 1층 104호 및 2층
원주AK플라자점,강원도 원주시 봉화로1 AK플라자원주점 1층  ,강원도 원주시 봉화로1 AK플라자원주점 1층
화정중앙공원점,경기도 고양시 덕양구 화신로260번길 26 동민프라자 1층 103~107호  ,경기도 고양시 덕양구 화신로260번길 26 동민프라자 1층 103~107호
강남역12번출구점,서울특별시 강남구 테헤란로 111 2층  ,서울특별시 강남구 테헤란로 111 2층
서초부띠크모나코점,서울특별시 서초구 서초대로 397 부띠크모나코 1층  ,서울특별시 서초구 서초대로 397 부띠크모나코 1층
송파파크하비오점,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113  ,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113
문정역엠스테이트점,"서울특별시 송파구 법원로 114, 엠스테이트 B동 지하 1층, B145-147   ","서울특별시 송파구 법원로 114, 엠스테이트 B동 지하 1층, B145-147"
상봉역점,서울특별시 중랑구 망우로 291 1층  ,서울특별시 중랑구 망우로 291 1층
강동경희대병원앞점,서울특별시 강동구 동남로 885 양지빌딩 1층  ,서울특별시 강동구 동남로 885 양지빌딩 1층
종각역점,서울시 종로구 종로 70 2층  ,서울특별시 종로구 종로 70 2층
평택소사점,"경기도 평택시 평남로 862, 로이드빌딩 1층  ","경기도 평택시 평남로 862, 로이드빌딩 1층"
몽촌토성역점,"서울시 송파구 방이동 44-2, 장은빌딩 1층  ","서울특별시 송파구 방이동 44-2, 장은빌딩 1층"
도곡동지오빌딩점,"서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층  ","서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층"
강북구청앞점,"서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)  ","서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)"
송도트리플스트리트점," 인천 연수구 송도과학로 16번길 33-4 D동 119호,207호  ","인천광역시 연수구 송도과학로 16번길 33-4 D동 119호,207호"
구의삼성쉐르빌점,서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층  ,서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층
여의도SK증권빌딩점,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층  ,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층
현대시티몰가든파이브점,서울특별시 송파구 충민로 66 가든파이브 라이프동 테크노관 1층  ,서울특별시 송파구 충민로 66 가든파이브 라이프동 테크노관 1층
위례2차아이파크점,서울시 송파구 위례광장로 230 위례2차 아이파크 B동 1층  ,서울특별시 송파구 위례광장로 230 위례2차 아이파크 B동 1층
한성대입구역점,서울특별시 성북구 삼선교로 12 1층  ,서울특별시 성북구 삼선교로 12 1층
한티역디마크빌딩점,서울특별시 강남구 도곡로 408 디마크빌딩 1층  ,서울특별시 강남구 도곡로 408 디마크빌딩 1층
논현201-5번지점,"서울특별시 강남구  강남대로112길 20 1층, 2층  ","서울특별시 강남구 강남대로112길 20 1층, 2층"
수원송죽DT점,경기도 수원시 장안구 경수대로 989  ,경기도 수원시 장안구 경수대로 989
동교동삼거리점,서울특별시 마포구 양화로 196(동교동)  ,서울특별시 마포구 양화로 196(동교동)
성남신흥점,경기도 성남시 수정구 수정로 190 (신흥동)  ,경기도 성남시 수정구 수정로 190 (신흥동)
응암동점,"서울시 은평구 은평로 121(응암동), 메디컬빌딩  ","서울특별시 은평구 은평로 121(응암동), 메디컬빌딩"
