store_name,address,newAddress,_GC_TYPE,_CLEANADDR,_X,_Y
마리오아울렛점,서울시 금천구 디지털로9길 23 마리오-2관 패션타워3층,서울특별시 금천구 디지털로9길 23 마리오-2관 패션타워3층,정,서울특별시 금천구 디지털로9길 23 (가산동),126.88650141861888,37.47872750955111
부평문화의거리점,"인천광역시 부평구 시장로29 1,2층","인천광역시 부평구 시장로29 1,2층",유,인천광역시 부평구 시장로 29 (부평동),126.72561187972902,37.49366754848921
내방역7번출구유중아트점,서울시 서초구 방배로178 유중아트센터1층,서울특별시 서초구 방배로178 유중아트센터1층,정,서울특별시 서초구 방배로 178 (방배동),126.99283058630812,37.48955184276402
역삼역4번출구점,서울시 강남구 테헤란로143 고운빌딩1층,서울특별시 강남구 테헤란로143 고운빌딩1층,정,서울특별시 강남구 테헤란로 143 (역삼동),127.0349072578858,37.50059283355217
여의도교보증권카페점,서울시 영등포구 의사당대로 97 교보증권빌딩 2층,서울특별시 영등포구 의사당대로 97 교보증권빌딩 2층,정,서울특별시 영등포구 의사당대로 97 (여의도동),126.9245858785891,37.522516003127116
일산원마운트점,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,정,경기도 고양시 일산서구 한류월드로 300 (대화동),126.75452297271285,37.66454489028992
남양연구소C1식당점,경기 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F,정,경기도 화성시 현대연구소로 150 (남양읍),126.81523265628222,37.15853615738945
강남대로센터점,서울시 강남구 강남대로442 흥국화재빌딩 2층,서울특별시 강남구 강남대로442 흥국화재빌딩 2층,정,서울특별시 강남구 강남대로 442 (역삼동),127.02604569013036,37.50208021241578
차병원사거리점,서울시 강남구 봉은사로207 KJ타워1층,서울특별시 강남구 봉은사로207 KJ타워1층,정,서울특별시 강남구 봉은사로 207 (논현동),127.03467005249816,37.507851106178876
구로G-ValleyMall,서울시 구로구 디지털로300 지밸리비즈플라자 2층,서울특별시 구로구 디지털로300 지밸리비즈플라자 2층,정,서울특별시 구로구 디지털로 300 (구로동),126.89644393000172,37.484954629108074
광화문역1번출구점,서울시 종로구 새문안로5가길 7 1층 일부,서울특별시 종로구 새문안로5가길 7 1층 일부,정,서울특별시 종로구 새문안로5가길 7 (내수동),126.97406661417024,37.57273403355782
도심공항점,서울시 강남구 테헤란로87길22 도심공항터미널 지하1층,서울특별시 강남구 테헤란로87길22 도심공항터미널 지하1층,정,서울특별시 강남구 테헤란로87길 22 (삼성동),127.0594435024982,37.509632057307705
강남역세계빌딩점,서울시 서초구 서초대로73길12 세계빌딩1층,서울특별시 서초구 서초대로73길12 세계빌딩1층,정,서울특별시 서초구 서초대로73길 12 (서초동),127.02573445134225,37.49856061907705
파르나스몰점,서울시 강남구 테헤란로521 파르나스몰 지하1층,서울특별시 강남구 테헤란로521 파르나스몰 지하1층,정,서울특별시 강남구 테헤란로 521 (삼성동),127.06062880636145,37.50917454343461
광교아브뉴프랑점,"경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호","경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호",정,경기도 수원시 영통구 이의동 1332,127.05052664129896,37.29066047263709
인천공항탑승동105gate앞점,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68,정,인천광역시 중구 공항로 272 (운서동),126.45200471725194,37.44978411824439
광장동대한제지점,서울시 광진구 아차산로563(광장동) 대한제지빌딩 로비층,서울특별시 광진구 아차산로563(광장동) 대한제지빌딩 로비층,정,서울특별시 광진구 아차산로 563 (광장동),127.10291231209277,37.54410507914015
남양연구소PT동점,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층,정,경기도 화성시 현대연구소로 150 (남양읍),126.81523265628222,37.15853615738945
타임스퀘어점,서울시 영등포구 영중로15 타임스퀘어 1층,서울특별시 영등포구 영중로15 타임스퀘어 1층,정,서울특별시 영등포구 영중로 15 (영등포동4가),126.90364413852514,37.51719606034781
이태원제일기획옆점,서울시 용산구 이태원로220(한남동) 1층,서울특별시 용산구 이태원로220(한남동) 1층,정,서울특별시 용산구 이태원로 220 (한남동),126.99848096264465,37.53481529818851
이천하이닉스점,경기 이천시 부발읍 하이닉스반도체,경기도 이천시 부발읍 하이닉스반도체,대,경기도 이천시 부발읍,127.49684544683701,37.2700625764479
신천역점,서울시 송파구 올림픽로100 효창타워1층,서울특별시 송파구 올림픽로100 효창타워1층,정,서울특별시 송파구 올림픽로 100 (잠실동),127.08168910320325,37.51141563278483
